,smiles,sequence,interactions
433,397,427,0
434,398,388,1
435,379,169,0
436,401,429,0
437,91,236,1
438,402,1,1
439,403,1,1
440,404,117,1
441,405,430,0
442,408,433,0
443,409,434,0
444,411,15,1
445,412,277,0
446,413,436,0
447,414,437,1
448,415,438,0
449,416,295,0
450,417,439,0
451,418,440,1
452,105,441,1
453,74,274,0
454,173,442,0
455,419,443,1
456,309,324,1
457,20,183,1
458,247,296,1
459,39,444,1
460,421,446,1
461,318,447,0
462,60,448,0
463,15,83,1
464,423,437,1
465,424,2,1
466,425,1,1
467,138,450,0
468,426,451,0
469,428,452,0
470,429,154,1
471,430,71,1
472,392,367,0
473,104,454,0
474,432,1,1
475,68,457,0
476,31,458,1
477,433,459,0
478,434,15,1
479,435,460,0
480,17,462,1
481,134,69,0
482,23,467,0
483,437,1,1
484,438,1,1
485,39,468,1
486,214,470,0
487,193,473,0
488,23,358,0
489,259,474,1
490,20,476,1
491,31,438,1
492,292,72,1
493,441,278,0
494,442,478,1
495,39,479,1
496,443,480,1
497,223,232,1
498,445,481,0
499,446,482,0
500,437,1,1
501,105,485,1
502,450,151,1
503,256,170,1
504,252,486,0
505,452,1,1
506,20,487,1
507,309,488,1
508,453,489,0
509,151,490,0
510,408,491,0
511,14,492,0
512,454,191,1
513,455,493,1
514,456,15,1
515,46,494,0
516,42,495,0
517,457,473,0
518,23,496,0
519,105,497,1
520,228,151,1
521,138,498,0
522,459,499,1
523,460,500,0
524,20,501,1
525,461,200,0
526,286,502,0
527,462,503,1
528,228,377,1
529,201,457,0
530,39,296,1
531,252,29,0
532,464,506,1
533,73,507,0
534,155,508,0
535,420,509,0
536,105,510,1
537,467,479,1
538,468,511,1
539,177,26,1
540,469,513,0
541,471,316,1
542,86,514,0
543,134,421,0
544,86,372,0
545,473,515,0
546,210,516,0
547,31,517,1
548,20,518,1
549,3,519,1
550,476,2,1
551,333,520,0
552,286,521,0
553,477,522,0
554,478,524,0
555,479,525,0
556,480,526,0
557,39,527,1
558,39,117,1
559,38,88,1
560,39,529,1
561,272,531,0
562,13,457,0
563,105,265,1
564,228,151,1
565,482,128,0
566,31,374,1
567,275,532,0
568,181,534,0
569,433,4,0
570,485,536,0
571,177,26,1
572,486,228,0
573,487,537,0
574,488,517,0
575,489,387,1
576,224,315,0
577,196,540,0
578,142,541,0
579,406,250,0
580,490,238,0
581,491,130,1
582,492,191,1
583,66,542,0
584,86,543,0
585,39,15,1
586,494,223,0
587,495,233,1
588,402,1,1
589,259,316,1
590,39,108,1
591,405,99,0
592,497,546,1
593,31,498,1
594,262,547,0
595,20,536,1
596,498,305,0
597,470,548,1
598,500,551,0
599,39,552,1
600,294,554,0
601,501,383,1
602,20,480,1
603,201,555,0
604,502,174,1
605,155,73,0
606,503,1,1
607,162,556,0
608,504,318,0
609,20,541,1
610,506,558,0
611,507,559,0
612,31,560,1
613,508,406,1
614,509,229,0
615,510,250,0
616,511,349,0
617,512,561,0
618,513,562,1
619,514,271,0
620,412,243,0
621,91,563,1
622,390,566,0
623,150,46,0
624,516,71,1
625,360,373,0
626,248,1,1
627,517,341,1
628,121,331,1
629,372,569,0
630,20,570,1
631,256,571,1
632,518,1,1
633,519,1,1
634,520,459,0
635,262,572,0
636,521,573,1
637,522,293,0
638,15,575,1
639,20,576,1
640,523,577,0
641,143,287,1
642,190,520,0
643,134,246,0
644,226,578,1
645,526,446,1
646,528,327,1
647,529,583,0
648,252,584,0
649,531,586,0
650,279,154,0
651,74,576,0
652,533,191,1
653,508,440,1
654,294,174,0
655,20,71,1
656,252,419,0
657,55,2,1
658,534,587,0
659,39,588,1
660,535,589,1
661,160,590,0
662,536,592,1
663,97,593,0
664,102,20,0
665,98,286,0
666,537,108,1
667,539,519,1
668,176,597,0
669,39,510,1
670,67,598,1
671,540,599,0
672,312,600,0
673,518,1,1
674,39,601,1
675,15,26,1
676,541,603,0
677,237,604,0
678,542,605,0
679,543,606,1
680,544,607,0
681,401,608,0
682,545,250,0
683,546,609,0
684,20,468,1
685,548,611,1
686,550,85,1
687,467,613,1
688,181,131,0
689,228,614,1
690,337,498,1
691,551,30,1
692,67,8,1
693,552,573,1
694,208,230,1
695,49,1,1
696,252,616,0
697,553,617,1
698,286,618,0
699,270,327,1
700,202,389,0
701,38,621,0
702,557,338,1
703,70,556,0
704,14,626,0
705,560,460,0
706,252,627,0
707,20,628,1
708,18,629,1
709,561,630,0
710,563,631,0
711,20,378,1
712,565,398,1
713,566,546,1
714,9,305,0
715,567,632,1
716,568,433,0
717,39,151,1
718,490,633,0
719,569,634,0
720,15,83,1
721,100,1,1
722,570,635,0
723,179,605,0
724,459,183,1
725,571,130,1
726,60,637,0
727,573,1,1
728,31,639,1
729,360,640,0
730,574,641,0
731,575,642,1
732,100,2,1
733,138,643,0
734,31,155,1
735,254,644,1
736,226,571,1
737,576,645,0
738,511,646,0
739,74,648,0
740,577,437,1
741,465,578,1
742,294,649,0
743,578,148,0
744,196,650,0
745,579,651,1
746,580,652,0
747,582,194,0
748,583,534,0
749,39,601,1
750,584,233,0
751,490,452,0
752,512,653,0
753,276,1,1
754,585,654,0
755,224,655,0
756,39,398,1
757,586,5,0
758,587,656,1
759,588,657,0
760,254,236,1
761,185,658,0
762,224,659,0
763,592,64,0
764,39,663,1
765,239,177,0
766,269,1,1
767,31,664,1
768,286,665,0
769,124,666,0
770,91,667,1
771,595,2,1
772,596,668,1
773,3,669,1
774,277,670,0
775,597,232,1
776,66,161,0
777,370,1,1
778,31,288,1
779,598,130,1
780,599,218,0
781,600,300,0
782,603,672,1
783,604,673,0
784,605,15,1
785,606,407,0
786,23,69,0
787,608,151,1
788,39,674,1
789,20,676,1
790,60,677,0
791,181,678,0
792,612,592,1
793,134,81,0
794,613,130,1
795,614,681,0
796,615,117,1
797,368,682,0
798,616,443,1
799,618,683,0
800,587,127,1
801,434,684,1
802,619,8,1
803,300,128,0
804,621,686,0
805,515,430,0
806,105,628,1
807,181,688,0
808,1,283,1
809,192,250,0
810,624,1,1
811,625,341,0
812,163,691,0
813,627,692,0
814,629,694,0
815,607,164,0
816,237,695,0
817,181,696,0
818,603,697,1
819,31,398,1
820,568,701,0
821,632,1,1
822,422,703,0
823,39,41,1
824,570,704,0
825,177,26,1
826,39,706,1
827,634,707,0
828,431,708,0
829,254,710,1
830,555,711,0
831,31,392,1
832,636,655,0
833,74,713,0
834,637,15,1
835,31,446,1
836,638,264,0
837,514,714,0
838,639,474,1
839,590,474,1
840,329,154,1
841,473,452,0
842,640,2,1
843,642,404,0
844,70,256,0
845,644,15,1
846,645,561,1
847,618,717,0
848,7,218,0
849,15,718,1
850,20,719,1
851,647,191,1
852,648,720,0
853,649,155,0
854,341,1,1
855,584,722,0
856,650,723,0
857,31,724,1
858,183,727,0
859,132,728,0
860,60,730,0
861,163,732,0
862,656,271,0
863,657,480,1
864,17,733,1
865,208,735,1
866,515,331,0
867,658,338,1
868,659,1,1
869,382,243,0
870,508,736,1
871,318,739,0
872,208,740,1
873,44,367,0
874,611,741,0
875,23,732,0
876,168,536,0
877,388,742,0
878,16,15,1
879,98,743,0
880,202,744,0
881,338,745,0
882,205,230,1
883,660,746,0
884,661,64,0
885,662,1,1
886,225,747,0
887,155,286,0
888,179,608,0
889,663,713,0
890,664,748,0
891,512,750,0
892,667,751,0
893,322,752,0
894,14,756,0
895,179,758,0
896,670,15,1
897,14,145,0
898,39,713,1
899,270,191,1
900,428,760,0
901,672,722,0
902,600,761,0
903,375,47,0
904,20,763,1
905,205,764,1
906,366,703,0
907,20,766,1
908,18,327,1
909,675,555,0
910,143,413,1
911,676,1,1
912,31,767,1
913,116,439,0
914,509,281,0
915,655,351,0
916,491,130,1
917,462,388,1
918,379,13,0
919,678,651,1
920,20,183,1
921,679,1,1
922,31,769,1
923,255,770,0
924,683,349,0
925,252,772,0
926,360,758,0
927,684,773,0
928,39,774,1
929,508,189,1
930,39,775,1
931,270,191,1
932,225,331,0
933,687,770,0
934,66,777,0
935,689,1,1
936,211,331,0
937,690,778,1
938,86,599,0
939,31,779,1
940,148,780,0
941,691,338,1
942,675,781,0
943,498,116,0
944,561,498,0
945,31,15,1
946,693,739,0
947,39,30,1
948,509,785,0
949,198,166,0
950,570,542,0
951,150,787,0
952,569,331,0
953,300,789,0
954,694,649,0
955,138,790,0
956,39,338,1
957,20,639,1
958,259,167,0
959,410,253,0
960,20,791,1
961,18,327,1
962,420,794,0
963,46,795,0
964,318,508,0
965,697,548,1
966,155,588,0
967,24,797,0
968,698,1,1
969,66,798,0
970,699,799,0
971,1,1,1
972,138,800,0
973,700,30,1
974,569,801,0
975,701,799,0
976,702,46,0
977,31,342,1
978,39,802,1
979,703,569,1
980,223,803,1
981,25,804,1
982,438,1,1
983,705,1,1
984,121,105,1
985,479,808,0
986,269,1,1
987,708,745,0
988,709,1,1
989,20,809,1
990,407,191,1
991,712,1,1
992,39,810,1
993,640,1,1
994,39,85,1
995,134,811,0
996,706,812,0
997,133,813,0
998,300,354,0
999,717,814,0
1000,718,651,1
1001,323,816,0
1002,721,191,1
1003,20,817,1
1004,722,1,1
1005,157,818,0
1006,279,1,0
1007,379,50,0
1008,724,822,0
1009,725,1,1
1010,23,823,0
1011,726,434,0
1012,485,824,0
1013,20,229,1
1014,728,236,0
1015,729,825,0
1016,39,185,1
1017,361,826,0
1018,730,1,1
1019,731,136,0
1020,196,828,0
1021,706,829,0
1022,732,339,0
1023,39,707,1
1024,39,183,1
1025,46,832,0
1026,379,835,0
1027,81,836,0
1028,50,72,1
1029,600,618,0
1030,339,837,0
1031,31,30,1
1032,270,838,1
1033,453,839,0
1034,395,840,0
1035,734,613,0
1036,270,842,1
1037,539,560,1
1038,735,844,0
1039,85,736,0
1040,7,845,0
1041,737,230,1
1042,23,846,0
1043,44,847,0
1044,281,108,0
1045,134,848,0
1046,738,785,0
1047,20,125,1
1048,31,849,1
1049,739,537,0
1050,595,1,1
1051,706,851,0
1052,86,608,0
1053,39,159,1
1054,740,852,1
1055,124,239,0
1056,576,853,0
1057,508,151,1
1058,741,182,0
1059,20,183,1
1060,742,854,0
1061,23,265,0
1062,744,856,0
1063,745,1,1
1064,746,837,0
1065,747,858,1
1066,31,388,1
1067,162,826,0
1068,286,218,0
1069,748,861,0
1070,749,191,1
1071,20,862,1
1072,751,252,1
1073,53,448,0
1074,66,68,0
1075,700,30,1
1076,251,1,1
1077,31,664,1
1078,9,772,0
1079,379,865,0
1080,754,15,1
1081,755,15,1
1082,756,28,0
1083,757,15,1
1084,759,868,0
1085,375,181,0
1086,760,869,0
1087,181,870,0
1088,28,871,0
1089,42,73,0
1090,138,73,0
1091,20,69,1
1092,70,872,0
1093,39,873,1
1094,762,1,1
1095,39,656,1
1096,763,542,0
1097,310,874,0
1098,471,669,1
1099,334,875,0
1100,231,1,1
1101,138,876,0
1102,765,243,1
1103,208,877,1
1104,153,1,1
1105,477,878,0
1106,381,880,0
1107,766,609,0
1108,767,881,0
1109,768,26,0
1110,473,167,0
1111,286,761,0
1112,488,151,0
1113,769,1,1
1114,172,331,1
1115,771,459,0
1116,504,102,0
1117,650,883,0
1118,60,33,0
1119,772,885,1
1120,72,511,0
1121,773,1,1
1122,357,332,0
1123,20,887,1
1124,775,191,1
1125,776,497,1
1126,454,191,1
1127,40,889,0
1128,162,890,0
1129,295,69,0
1130,777,286,0
1131,39,40,1
1132,585,554,0
1133,39,892,1
1134,18,151,1
1135,590,896,1
1136,20,897,1
1137,655,898,0
1138,781,8,1
1139,782,74,1
1140,39,899,1
1141,196,900,0
1142,783,108,0
1143,20,174,1
1144,785,215,0
1145,255,136,0
1146,133,116,0
1147,14,904,0
1148,134,185,0
1149,196,459,0
1150,587,656,1
1151,379,730,0
1152,508,388,1
1153,42,876,0
1154,31,15,1
1155,5,13,0
1156,211,904,0
1157,632,1,1
1158,789,907,1
1159,382,908,0
1160,62,2,1
1161,272,909,0
1162,790,910,0
1163,391,848,0
1164,791,911,0
1165,508,858,1
1166,98,632,0
1167,753,913,0
1168,490,560,1
1169,329,1,1
1170,679,1,1
1171,247,510,1
1172,796,656,0
1173,391,600,0
1174,39,159,1
1175,39,247,1
1176,797,916,0
1177,798,917,0
1178,39,129,1
1179,392,32,0
1180,214,918,0
1181,800,480,1
1182,39,852,1
1183,801,1,1
1184,802,920,1
1185,805,175,0
1186,806,15,1
1187,138,921,0
1188,42,922,0
1189,807,924,0
1190,808,925,0
1191,578,926,0
1192,20,927,1
1193,699,928,0
1194,379,929,0
1195,14,48,0
1196,67,598,1
1197,20,930,1
1198,702,931,0
1199,9,933,0
1200,812,274,0
1201,624,1,1
1202,66,101,0
1203,814,1,1
1204,459,183,1
1205,405,177,0
1206,604,566,0
1207,790,935,0
1208,1,1,1
1209,789,437,1
1210,20,83,1
1211,20,105,1
1212,120,1,1
1213,366,936,0
1214,196,226,0
1215,818,562,1
1216,708,938,0
1217,20,83,1
1218,162,940,0
1219,31,74,1
1220,282,459,0
1221,820,1,1
1222,105,218,1
1223,824,15,1
1224,124,942,0
1225,825,871,0
1226,471,85,1
1227,611,944,0
1228,20,945,1
1229,53,218,0
1230,20,227,1
1231,39,26,1
1232,830,617,0
1233,39,664,1
1234,833,1,1
1235,153,1,1
1236,31,316,1
1237,341,2,1
1238,834,1,1
1239,39,949,1
1240,260,236,0
1241,31,340,1
1242,400,407,0
1243,835,2,1
1244,31,278,1
1245,31,8,1
1246,281,242,0
1247,31,951,1
1248,836,175,0
1249,837,153,0
1250,838,274,0
1251,23,9,0
1252,138,64,0
1253,50,571,1
1254,753,953,0
1255,121,536,1
1256,20,191,1
1257,842,15,1
1258,102,385,0
1259,14,955,0
1260,422,956,0
1261,844,117,1
1262,837,186,0
1263,40,959,0
1264,20,960,1
1265,845,497,0
1266,71,55,0
1267,143,961,1
1268,305,963,0
1269,39,964,1
1270,379,965,0
1271,91,966,1
1272,671,967,0
1273,202,968,0
1274,39,153,1
1275,849,480,1
1276,59,969,0
1277,91,40,1
1278,228,151,1
1279,39,971,1
1280,39,972,1
1281,853,973,1
1282,855,975,0
1283,856,136,0
1284,857,342,1
1285,31,976,1
1286,39,977,1
1287,737,230,1
1288,488,349,0
1289,860,632,1
1290,861,43,0
1291,328,256,1
1292,706,978,0
1293,666,1,0
1294,20,126,1
1295,863,556,0
1296,864,980,0
1297,205,981,1
1298,420,982,0
1299,867,1,1
1300,868,983,0
1301,869,883,0
1302,300,984,0
1303,463,499,1
1304,836,985,0
1305,20,183,1
1306,295,986,0
1307,453,987,0
1308,67,185,1
1309,721,191,1
1310,873,990,0
1311,435,459,0
1312,251,1,1
1313,31,992,1
1314,366,488,0
1315,853,68,1
1316,39,119,1
1317,247,332,1
1318,20,183,1
1319,874,238,0
1320,875,440,1
1321,87,2,1
1322,244,197,0
1323,20,183,1
1324,667,994,0
1325,32,995,0
1326,31,996,1
1327,106,105,1
1328,424,2,1
1329,66,997,0
1330,877,998,0
1331,878,117,0
1332,121,817,1
1333,879,999,1
1334,880,309,0
1335,39,573,1
1336,882,1001,0
1337,883,480,1
1338,333,167,0
1339,39,71,1
1340,884,215,1
1341,185,1002,0
1342,39,724,1
1343,74,154,0
1344,290,909,0
1345,138,1003,0
1346,105,1004,1
1347,198,1005,0
1348,886,1007,0
1349,733,559,0
1350,361,213,0
1351,138,588,0
1352,676,1,1
1353,20,601,1
1354,398,503,1
1355,39,1009,1
1356,887,261,1
1357,7,1010,0
1358,214,681,1
1359,888,1,1
1360,890,1011,0
1361,314,1,1
1362,83,359,0
1363,891,117,1
1364,104,1013,0
1365,576,1014,0
1366,163,121,0
1367,47,635,0
1368,20,183,1
1369,237,1015,0
1370,39,1016,1
1371,719,116,0
1372,892,48,1
1373,86,822,0
1374,834,2,1
1375,225,1020,0
1376,31,1021,1
1377,869,322,0
1378,895,322,0
1379,569,28,0
1380,224,1024,0
1381,896,791,1
1382,508,1025,1
1383,897,578,1
1384,20,571,1
1385,471,266,1
1386,5,728,0
1387,617,412,1
1388,426,489,0
1389,252,409,0
1390,900,1,1
1391,39,572,1
1392,202,426,0
1393,902,121,0
1394,20,510,1
1395,86,228,0
1396,903,560,1
1397,138,944,0
1398,73,811,0
1399,746,256,0
1400,162,848,0
1401,361,659,0
1402,68,1028,0
1403,74,497,0
1404,819,1029,0
1405,15,327,1
1406,905,15,1
1407,391,359,0
1408,150,839,0
1409,907,1031,0
1410,585,1032,0
1411,651,107,0
1412,39,961,1
1413,458,93,0
1414,143,1033,1
1415,908,1034,0
1416,150,89,0
1417,372,181,0
1418,909,1,1
1419,749,191,1
1420,337,26,1
1421,309,1037,1
1422,488,62,0
1423,911,592,1
1424,587,1039,1
1425,68,181,0
1426,312,1040,0
1427,288,1,1
1428,50,178,1
1429,1,1,1
1430,288,1,1
1431,912,1,1
1432,913,70,0
1433,914,191,1
1434,47,1041,0
1435,252,871,0
1436,587,129,1
1437,39,1042,1
1438,915,278,0
1439,488,311,0
1440,375,999,0
1441,31,357,1
1442,388,1045,0
1443,46,157,0
1444,831,1046,0
1445,214,854,0
1446,39,239,1
1447,35,629,1
1448,20,977,1
1449,512,772,0
1450,919,498,0
1451,181,507,0
1452,847,1048,0
1453,39,48,1
1454,921,318,1
1455,123,2,1
1456,292,877,1
1457,922,283,1
1458,781,8,1
1459,361,1049,0
1460,353,710,0
1461,923,15,1
1462,5,1050,0
1463,74,742,0
1464,17,1051,1
1465,39,1052,1
1466,20,1053,1
1467,925,30,1
1468,822,507,0
1469,927,178,1
1470,928,1,1
1471,929,15,1
1472,224,1054,0
1473,60,1024,0
1474,930,338,1
1475,675,778,0
1476,560,1055,0
1477,144,1056,0
1478,232,1057,0
1479,39,1058,1
1480,154,692,0
1481,66,93,0
1482,60,543,0
1483,39,15,1
1484,20,569,1
1485,788,57,0
1486,745,1,1
1487,428,1060,0
1488,604,778,0
1489,109,1061,0
1490,462,503,1
1491,570,1062,0
1492,25,72,1
1493,656,1063,0
1494,155,30,0
1495,20,1064,1
1496,9,468,0
1497,737,230,1
1498,20,364,1
1499,91,316,1
1500,814,1,1
1501,20,966,1
1502,932,1065,0
1503,620,40,1
1504,23,144,0
1505,933,810,1
1506,934,576,0
1507,20,288,1
1508,20,30,1
1509,400,1066,0
1510,259,367,0
1511,935,286,0
1512,649,1067,0
1513,53,1068,0
1514,490,1069,0
1515,91,1070,1
1516,300,1071,0
1517,937,99,0
1518,379,205,0
1519,31,387,1
1520,939,508,0
1521,940,421,1
1522,941,1,1
1523,31,663,1
1524,942,904,1
1525,205,230,1
1526,202,1074,0
1527,590,6,1
1528,943,551,0
1529,437,1,1
1530,39,1075,1
1531,420,691,0
1532,20,1076,1
1533,830,1077,0
1534,388,1078,0
1535,944,48,1
1536,850,131,1
1537,20,1079,1
1538,945,1,1
1539,39,191,1
1540,223,1080,1
1541,5,1081,0
1542,536,182,1
1543,946,479,1
1544,163,215,0
1545,541,28,0
1546,20,135,1
1547,202,811,0
1548,843,489,0
1549,947,407,0
1550,855,1084,0
1551,39,1085,1
1552,50,40,1
1553,20,1086,1
1554,31,664,1
1555,949,117,1
1556,950,1,1
1557,500,515,0
1558,533,191,1
1559,20,331,1
1560,134,1014,0
1561,323,1,1
1562,850,131,1
1563,951,1091,0
1564,952,548,1
1565,252,1093,0
1566,954,318,0
1567,955,1,1
1568,39,1094,1
1569,198,360,0
1570,39,151,1
1571,247,667,1
1572,433,362,0
1573,956,15,1
1574,20,570,1
1575,512,576,0
1576,801,1,1
1577,732,1095,0
1578,959,794,0
1579,960,569,0
1580,134,1097,0
1581,20,1098,1
1582,961,1,1
1583,210,678,0
1584,559,271,0
1585,655,791,0
1586,9,1099,0
1587,20,1100,1
1588,963,178,1
1589,68,942,0
1590,300,593,0
1591,20,331,1
1592,471,167,0
1593,551,30,1
1594,13,942,0
1595,964,1,1
1596,807,1102,0
1597,5,205,0
1598,20,1103,1
1599,120,1,1
1600,966,1104,1
1601,112,23,0
1602,150,1105,0
1603,39,88,1
1604,39,656,1
1605,215,586,0
1606,969,2,1
1607,790,1107,0
1608,401,1024,0
1609,74,45,0
1610,855,1108,0
1611,19,1109,0
1612,17,1110,1
1613,799,30,1
1614,971,60,0
1615,20,1111,1
1616,355,151,1
1617,972,1020,1
1618,31,1112,1
1619,973,15,1
1620,20,1113,1
1621,974,203,0
1622,214,1114,0
1623,5,56,0
1624,417,1115,0
1625,231,1,1
1626,270,327,1
1627,20,718,1
1628,31,1117,1
1629,187,1118,1
1630,20,1119,1
1631,739,1120,0
1632,976,1,1
1633,150,1121,0
1634,305,1123,0
1635,70,229,0
1636,360,1124,0
1637,977,837,0
1638,361,290,0
1639,979,5,0
1640,86,584,0
1641,31,15,1
1642,21,722,0
1643,294,1126,0
1644,121,517,1
1645,290,447,0
1646,981,1,1
1647,982,191,1
1648,983,1127,1
1649,985,1,1
1650,903,519,1
1651,243,607,0
